Trait Card,Food Value
Symbiosis,3
Carnivore,1
Fertile,6
Defensive Herding,7
Defensive Herding,8
Fertile,3
Climbing,3
Fertile,2
Horns,3
Pack Hunting,-3
Scavenger,6
Carnivore,3
Carnivore,1
Carnivore,4
Scavenger,6
Hard Shell,2
Warning Call,5
Fat Tissue,5
Carnivore,5
Climbing,4
Ambush,3
Long Neck,6
Burrowing,4
Cooperation,4
Fat Tissue,0
Hard Shell,1
Foraging,2
Hard Shell,5
Ambush,1
Burrowing,4
Warning Call,3
Horns,4
Intelligence,4
Pack Hunting,1
Fertile,5
Carnivore,0
Climbing,2
Defensive Herding,2
Scavenger,7
Symbiosis,4
Foraging,3
Scavenger,2
Carnivore,4
Foraging,6
Defensive Herding,5
Carnivore,6
Burrowing,5
Symbiosis,1
Defensive Herding,4
Horns,5
Climbing,4
Fat Tissue,4
Defensive Herding,3
Symbiosis,3
Carnivore,3
Hard Shell,3
Ambush,0
Ambush,-1
Climbing,5
Defensive Herding,6
Pack Hunting,-1
Pack Hunting,-2
Long Neck,9
Intelligence,-1
Intelligence,-2
Symbiosis,5
Warning Call,3
Warning Call,4
Cooperation,0
Horns,4
Long Neck,5
Hard Shell,4
Intelligence,5
Carnivore,2
Fat Tissue,5
Hard Shell,4
Ambush,-3
Climbing,3
Hard Shell,3
Carnivore,5
Pack Hunting,2
Carnivore,2
Cooperation,3
Foraging,6
Warning Call,2
Scavenger,4
Symbiosis,2
Burrowing,3
Foraging,4
Burrowing,3
Warning Call,1
Fat Tissue,-1
Carnivore,3
Burrowing,2
Horns,3
Fat Tissue,3
Intelligence,7
Carnivore,6
Long Neck,3
Pack Hunting,0
Scavenger,5
Long Neck,4
Burrowing,1
Cooperation,5
Carnivore,4
Foraging,7
Climbing,1
Horns,2
Cooperation,4
Fertile,6
Ambush,2
Cooperation,3
Fertile,4
Foraging,5
Fertile,7
Intelligence,6
Carnivore,0
Ambush,-2
Fat Tissue,4
Warning Call,4
Carnivore,2
Long Neck,7
Pack Hunting,3
Long Neck,8
Cooperation,5
Symbiosis,4
Intelligence,0
Scavenger,3
Horns,1
