Trait Card,Food Value
Cooperation,1
Fertile,6
Fertile,3
Fertile,2
Cooperation,3
Cooperation,1
Cooperation,4
Fat Tissue,5
Cooperation,5
Long Neck,6
Fat Tissue,0
Foraging,2
Fertile,5
Cooperation,0
Foraging,3
Cooperation,4
Foraging,6
Cooperation,6
Cooperation,5
Cooperation,1
Cooperation,4
Cooperation,5
Cooperation,4
Fat Tissue,4
Fertile,3
Fertile,3
Fertile,3
Fertile,3
Fertile,0
Fertile,-1
Fertile,5
Fat Tissue,6
Long Neck,9
Cooperation,0
Fat Tissue,4
Long Neck,5
Fat Tissue,4
Fat Tissue,5
Long Neck,2
Fat Tissue,5
Long Neck,4
Long Neck,-3
Long Neck,3
Hard Shell,3
Foraging,5
Foraging,2
Cooperation,3
Foraging,6
Foraging,2
Foraging,4
Foraging,2
Foraging,3
Foraging,4
Foraging,3
Foraging,1
Fat Tissue,-1
Foraging,3
Foraging,2
Foraging,3
Fat Tissue,3
Foraging,7
Foraging,6
Long Neck,3
Foraging,0
Foraging,5
Long Neck,4
Cooperation,5
Foraging,4
Foraging,7
Cooperation,1
Cooperation,4
Fertile,6
Fertile,2
Cooperation,3
Fertile,4
Foraging,5
Fertile,7
Fertile,0
Fat Tissue,4
Fat Tissue,2
Long Neck,7
Long Neck,8
Cooperation,5
